icd10cm,phecode
S76902D,1009
S66528,1009
S46109S,1009
S76022S,1009
S76821,1009
S79811D,1009
S4990XD,1009
S1989XS,1009
S96892D,1009
S56125A,1009
S66520A,1009
S66129D,1009
S56124,1009
S79911S,1009
S5632,1009
S56301S,1009
S66292A,1009
S86,1009
S79922S,1009
S99921D,1009
S46129,1009
S39012,1009
S66491S,1009
S5630,1009
S86902A,1009
S66397D,1009
S96002,1009
S56403A,1009
S56196A,1009
S56809A,1009
S4980,1009
S4991,1009
S0992XA,1009
S660,1009
S66102,1009
S86192,1009
S99829A,1009
S66001,1009
S899,1009
S96929S,1009
S66126D,1009
S8680,1009
S79922A,1009
S66305S,1009
S86892A,1009
S66801,1009
S56299S,1009
S56999A,1009
S66591D,1009
S6600,1009
S96929D,1009
S66991A,1009
S39092A,1009
S29011A,1009
S46109,1009
S76929,1009
S76299D,1009
S66120S,1009
S46992S,1009
S66326D,1009
S39002S,1009
S29011D,1009
S66198S,1009
S46302,1009
S59802S,1009
S9602,1009
S86322D,1009
S56426S,1009
S66202D,1009
S66520,1009
V9731XS,1009
S66922A,1009
S76009S,1009
S76391,1009
S56002,1009
S96022A,1009
S56124S,1009
S66191S,1009
S8992XA,1009
S56496S,1009
S56127S,1009
S96802D,1009
S29099D,1009
S56402A,1009
S46191D,1009
S8692,1009
S46001A,1009
S56329D,1009
S66109A,1009
S76991D,1009
S66194S,1009
S76299,1009
S56425S,1009
V9733XA,1009
S4619,1009
S9680,1009
S66107,1009
S56196D,1009
S56122,1009
S56899,1009
S46392S,1009
S76909,1009
S66324D,1009
S29001S,1009
S79919A,1009
S1980XA,1009
S66221S,1009
S5690,1009
S66592D,1009
S66100A,1009
S96009S,1009
S46292A,1009
S86809D,1009
S66321A,1009
S86999S,1009
S56322S,1009
S96222,1009
S86002D,1009
S8991XS,1009
S86801A,1009
S162XXS,1009
S29009S,1009
S86202A,1009
S86801D,1009
S66105,1009
S66595A,1009
S96199D,1009
S46822S,1009
S56129S,1009
S76221D,1009
S86209A,1009
S6991XS,1009
S0912XD,1009
S76891D,1009
S56021,1009
S56424D,1009
S86309S,1009
S76092S,1009
S79812S,1009
S46822D,1009
S56309D,1009
S56991,1009
S96802S,1009
S86221A,1009
S86192D,1009
S96192A,1009
S96221,1009
S59901S,1009
V971XXD,1009
S96901,1009
S99912S,1009
S46322A,1009
S5619,1009
S86302D,1009
S56809S,1009
S86229D,1009
S56494S,1009
S56891,1009
S46022D,1009
S5980,1009
S99911D,1009
S76301D,1009
S86092D,1009
S6639,1009
S76192S,1009
S86809A,1009
S56498S,1009
S66527A,1009
S29002S,1009
S66001A,1009
S5649,1009
S66592S,1009
S76822S,1009
S09309S,1009
S5680,1009
V97818,1009
S66129,1009
S56221,1009
S56391,1009
S79822,1009
S86392,1009
S8682,1009
S56407A,1009
S66128D,1009
S66821S,1009
S46029S,1009
V9721,1009
S3993XA,1009
S66128,1009
S56092,1009
S86322S,1009
S56195S,1009
S96229S,1009
S86101S,1009
V970XXD,1009
S39013A,1009
S56201A,1009
S6982XA,1009
S66320D,1009
S56495D,1009
S86829D,1009
S56428A,1009
S29092,1009
S56302A,1009
S86801,1009
S46399,1009
S76121S,1009
S299XXD,1009
S86222S,1009
S99929S,1009
S56192S,1009
S5699,1009
S96891A,1009
S8619,1009
S76322D,1009
S76201S,1009
S66921S,1009
S4600,1009
V970,1009
S6980XA,1009
S66901S,1009
S46221,1009
S99811,1009
